timestamp,open,high,low,close,volume,ticker
2022-04-12 09:15:00+05:30,662.95,650.0,607.1,650.0,1900,BANKNIFTY APR 37700.0 CE
2022-04-12 09:16:00+05:30,650.0,650.0,623.0,625.0,3900,BANKNIFTY APR 37700.0 CE
2022-04-12 09:17:00+05:30,625.0,625.0,617.0,617.0,1675,BANKNIFTY APR 37700.0 CE
2022-04-12 09:18:00+05:30,617.0,621.45,615.0,620.25,1400,BANKNIFTY APR 37700.0 CE
2022-04-12 09:19:00+05:30,620.25,625.0,615.45,622.0,1200,BANKNIFTY APR 37700.0 CE
2022-04-12 09:20:00+05:30,622.0,637.85,615.6,633.1,750,BANKNIFTY APR 37700.0 CE
2022-04-12 09:21:00+05:30,633.1,633.1,630.0,633.0,300,BANKNIFTY APR 37700.0 CE
2022-04-12 09:22:00+05:30,634.0,640.9,633.95,640.9,875,BANKNIFTY APR 37700.0 CE
2022-04-12 09:23:00+05:30,640.9,645.45,637.0,645.45,650,BANKNIFTY APR 37700.0 CE
2022-04-12 09:24:00+05:30,646.8,646.8,628.5,628.5,1275,BANKNIFTY APR 37700.0 CE
2022-04-12 09:25:00+05:30,625.0,636.95,621.05,631.05,975,BANKNIFTY APR 37700.0 CE
2022-04-12 09:26:00+05:30,631.05,631.05,627.05,629.4,275,BANKNIFTY APR 37700.0 CE
2022-04-12 09:27:00+05:30,629.4,629.4,625.0,627.75,200,BANKNIFTY APR 37700.0 CE
2022-04-12 09:28:00+05:30,627.75,634.95,627.75,634.95,225,BANKNIFTY APR 37700.0 CE
2022-04-12 09:29:00+05:30,635.2,635.2,628.0,628.8,200,BANKNIFTY APR 37700.0 CE
2022-04-12 09:30:00+05:30,627.2,627.2,618.15,618.15,1400,BANKNIFTY APR 37700.0 CE
2022-04-12 09:31:00+05:30,618.15,618.15,607.0,607.0,425,BANKNIFTY APR 37700.0 CE
2022-04-12 09:32:00+05:30,605.2,607.95,596.8,596.8,975,BANKNIFTY APR 37700.0 CE
2022-04-12 09:33:00+05:30,596.8,596.8,593.15,593.15,175,BANKNIFTY APR 37700.0 CE
2022-04-12 09:34:00+05:30,593.15,594.1,586.0,586.0,1950,BANKNIFTY APR 37700.0 CE
2022-04-12 09:35:00+05:30,586.0,586.0,580.0,580.0,800,BANKNIFTY APR 37700.0 CE
2022-04-12 09:36:00+05:30,580.0,590.0,577.65,582.75,825,BANKNIFTY APR 37700.0 CE
2022-04-12 09:37:00+05:30,582.75,587.1,580.0,580.0,875,BANKNIFTY APR 37700.0 CE
2022-04-12 09:38:00+05:30,582.0,582.3,577.0,582.3,325,BANKNIFTY APR 37700.0 CE
2022-04-12 09:39:00+05:30,582.3,598.45,582.3,595.6,700,BANKNIFTY APR 37700.0 CE
2022-04-12 09:40:00+05:30,600.0,604.35,594.1,594.1,925,BANKNIFTY APR 37700.0 CE
2022-04-12 09:41:00+05:30,594.0,602.2,589.75,602.2,2200,BANKNIFTY APR 37700.0 CE
2022-04-12 09:42:00+05:30,602.2,631.5,602.2,625.1,2950,BANKNIFTY APR 37700.0 CE
2022-04-12 09:43:00+05:30,625.1,626.5,620.0,620.95,850,BANKNIFTY APR 37700.0 CE
2022-04-12 09:44:00+05:30,625.0,650.0,625.0,650.0,1300,BANKNIFTY APR 37700.0 CE
2022-04-12 09:45:00+05:30,650.0,655.7,640.3,650.8,525,BANKNIFTY APR 37700.0 CE
2022-04-12 09:46:00+05:30,650.0,666.1,644.15,660.75,1025,BANKNIFTY APR 37700.0 CE
2022-04-12 09:47:00+05:30,663.25,663.25,638.4,638.4,575,BANKNIFTY APR 37700.0 CE
2022-04-12 09:48:00+05:30,638.4,638.75,629.0,631.8,1250,BANKNIFTY APR 37700.0 CE
2022-04-12 09:49:00+05:30,632.2,632.2,626.4,629.45,425,BANKNIFTY APR 37700.0 CE
2022-04-12 09:50:00+05:30,629.45,629.45,610.55,615.0,500,BANKNIFTY APR 37700.0 CE
2022-04-12 09:51:00+05:30,615.0,615.0,599.35,599.35,425,BANKNIFTY APR 37700.0 CE
2022-04-12 09:52:00+05:30,599.35,609.85,599.35,609.85,75,BANKNIFTY APR 37700.0 CE
2022-04-12 09:53:00+05:30,609.85,618.85,609.85,617.95,400,BANKNIFTY APR 37700.0 CE
2022-04-12 09:54:00+05:30,612.4,612.4,605.95,611.05,425,BANKNIFTY APR 37700.0 CE
2022-04-12 09:55:00+05:30,611.05,614.15,611.0,611.0,325,BANKNIFTY APR 37700.0 CE
2022-04-12 09:56:00+05:30,611.0,615.0,611.0,615.0,25,BANKNIFTY APR 37700.0 CE
2022-04-12 09:57:00+05:30,615.0,615.0,609.8,609.8,475,BANKNIFTY APR 37700.0 CE
2022-04-12 09:58:00+05:30,613.7,613.7,609.0,613.35,375,BANKNIFTY APR 37700.0 CE
2022-04-12 09:59:00+05:30,613.35,615.3,609.0,609.0,550,BANKNIFTY APR 37700.0 CE
2022-04-12 10:00:00+05:30,609.0,609.0,604.0,604.05,1475,BANKNIFTY APR 37700.0 CE
